日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門售電量(度),服務業部門用電佔比(%) ,機關用電售電量(度),機關用電用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),合計售電量(度),縣市用電佔比(%)
2019年04月,台北市,331125823,0.3183,589279943,0.5664,119377838,0.1147,547769,0.0005,1040331373,15.32118534
2019年04月,桃園市,349366374,0.5155,276118476,0.4074,48845569,0.0721,3417286,0.005,677747705,9.981337169
2019年04月,台中市,389477020,0.4587,387118742,0.4559,59413293,0.07,13149643,0.0155,849158698,12.50574397
2019年04月,台南市,258790152,0.4939,197597766,0.3771,40605456,0.0775,27005713,0.0515,523999087,7.717047989
2019年04月,高雄市,325830839,0.4277,337609507,0.4431,78812068,0.1034,19646201,0.0258,761898615,11.22064584
2019年04月,宜蘭縣,62795030,0.5082,44050209,0.3565,11620387,0.094,5102287,0.0413,123567913,1.819811404
2019年04月,新竹縣,86132044,0.5484,58225533,0.3707,11490368,0.0732,1213289,0.0077,157061234,2.313074793
2019年04月,苗栗縣,63451710,0.547,39569417,0.3411,10695449,0.0922,2289548,0.0197,116006124,1.708447301
2019年04月,彰化縣,165511404,0.5148,101075278,0.3144,21703335,0.0675,33208827,0.1033,321498844,4.734783073
2019年04月,南投縣,70251926,0.5337,42269688,0.3211,10891934,0.0827,8219214,0.0624,131632762,1.938584182
2019年04月,雲林縣,96378754,0.5251,44228388,0.241,13788461,0.0751,29131074,0.1587,183526677,2.702837102
2019年04月,嘉義縣,61373467,0.5091,28038935,0.2326,11782264,0.0977,19362487,0.1606,120557153,1.77547129
2019年04月,屏東縣,108096137,0.4337,62296876,0.2499,18866636,0.0757,59989338,0.2407,249248987,3.670743788
2019年04月,台東縣,29667893,0.4946,21853064,0.3643,6546900,0.1092,1912881,0.0319,59980738,0.883349313
2019年04月,花蓮縣,47660154,0.4752,37934000,0.3782,13061704,0.1302,1642605,0.0164,100298463,1.477117177
2019年04月,基隆市,54828705,0.5955,30425000,0.3305,6800811,0.0739,14455,0.0002,92068971,1.355919667
2019年04月,新竹市,60739075,0.4025,70455179,0.4669,18925186,0.1254,772625,0.0051,150892065,2.222220106
2019年04月,嘉義市,34908398,0.4594,34723158,0.457,5789157,0.0762,558980,0.0074,75979693,1.118969387
2019年04月,澎湖縣,11417179,0.4802,8020912,0.3374,4047327,0.1702,289176,0.0122,23774594,0.350133593
2019年04月,金門縣,6996023,0.4345,5673857,0.3524,3290658,0.2044,139539,0.0087,16100077,0.237109319
2019年04月,連江縣,1310380,0.373,1413409,0.4023,782373,0.2227,7118,0.002,3513280,0.051740835
2019年04月,合計,3159974064,0.4654,2828642486,0.4166,571811429,0.0842,229721412,0.0338,6790149391,100
2019年03月,新北市,552377968,0.5376,423297015,0.412,49701956,0.0484,2040198,0.002,1027417137,15.20115831
2019年03月,台北市,349226853,0.3358,579579651,0.5573,110627737,0.1064,548362,0.0005,1039982603,15.38707076
2019年03月,桃園市,301469020,0.4963,257058657,0.4232,45999232,0.0757,2930528,0.0048,607457437,8.987641275
2019年03月,台中市,393889590,0.4643,386766604,0.4559,55162917,0.065,12454350,0.0147,848273461,12.55063665
2019年03月,台南市,257386700,0.5096,185036994,0.3664,38215488,0.0757,24411720,0.0483,505050902,7.472484583
2019年03月,高雄市,410049928,0.4957,323198481,0.3907,74490520,0.09,19484570,0.0236,827223499,12.23919177
2019年03月,宜蘭縣,61950759,0.4999,45989805,0.3711,11435623,0.0923,4559305,0.0368,123935492,1.833688544
2019年03月,新竹縣,78218615,0.5503,51626177,0.3632,10995828,0.0774,1284875,0.009,142125495,2.102818876
2019年03月,苗栗縣,73145169,0.579,40483814,0.3205,10569260,0.0837,2127398,0.0168,126325641,1.869052012
2019年03月,彰化縣,167712895,0.5373,93355906,0.2991,20335810,0.0651,30764516,0.0986,312169127,4.618700768
2019年03月,南投縣,58797758,0.5119,38690147,0.3368,9763743,0.085,7607798,0.0662,114859446,1.699403834
2019年03月,雲林縣,96691338,0.5241,46553483,0.2523,13144857,0.0713,28097764,0.1523,184487442,2.729585395
2019年03月,嘉義縣,67354271,0.5318,28469297,0.2248,11531912,0.0911,19291077,0.1523,126646557,1.873800128
2019年03月,屏東縣,119422753,0.4632,61985131,0.2404,18115836,0.0703,58276605,0.2261,257800325,3.814286731
2019年03月,台東縣,26895688,0.4727,21603222,0.3797,6314555,0.111,2081055,0.0366,56894520,0.841783317
2019年03月,花蓮縣,42927244,0.4512,37699496,0.3962,12910168,0.1357,1608167,0.0169,95145075,1.407719704
2019年03月,基隆市,47889148,0.574,29208501,0.3501,6327256,0.0758,9084,0.0001,83433989,1.234448239
2019年03月,新竹市,69042223,0.4455,67731254,0.437,17525947,0.1131,688885,0.0044,154988309,2.293130742
2019年03月,嘉義市,35401500,0.4654,34858257,0.4583,5299150,0.0697,502781,0.0066,76061688,1.125371302
2019年03月,澎湖縣,12885078,0.4974,9159308,0.3536,3563930,0.1376,294915,0.0114,25903231,0.383251457
2019年03月,金門縣,9640218,0.5002,6496802,0.3371,2997123,0.1555,139398,0.0072,19273541,0.285161827
2019年03月,連江縣,1253795,0.3739,1301623,0.3882,792290,0.2363,5592,0.0017,3353300,0.049613776
2019年03月,合計,3233628511,0.4784,2770149625,0.4099,535821138,0.0793,219208943,0.0324,6758808217,100
2019年02月,新北市,546194479,0.5606,383512122,0.3936,42507660,0.0436,2076213,0.0021,974290474,15.27725156
2019年02月,台北市,334772687,0.3566,512888832,0.5464,90544757,0.0965,466348,0.0005,938672624,14.71874989
2019年02月,桃園市,351301538,0.5454,250449119,0.3888,39069199,0.0607,3257737,0.0051,644077593,10.09938584
2019年02月,台中市,387495264,0.4817,357188083,0.444,47734106,0.0593,12016175,0.0149,804433628,12.6138305
2019年02月,台南市,256798856,0.5223,176343196,0.3587,32838216,0.0668,25687447,0.0522,491667715,7.709539985
2019年02月,高雄市,320564166,0.455,302086375,0.4288,63027898,0.0895,18792744,0.0267,704471183,11.04638069
2019年02月,宜蘭縣,65916007,0.5436,40902512,0.3373,10258778,0.0846,4183366,0.0345,121260663,1.901414109
2019年02月,新竹縣,84629686,0.5707,52639344,0.355,9870164,0.0666,1152600,0.0078,148291794,2.3252727
2019年02月,苗栗縣,63323266,0.5688,36305472,0.3261,9727266,0.0874,1981096,0.0178,111337100,1.745808802
2019年02月,彰化縣,161447482,0.5291,94823246,0.3107,18889616,0.0619,29992040,0.0983,305152384,4.784907437
2019年02月,南投縣,67970501,0.5461,38784809,0.3116,9538897,0.0766,8169810,0.0656,124464017,1.951643939
2019年02月,雲林縣,90446208,0.5338,39559339,0.2335,11628422,0.0686,27814896,0.1641,169448865,2.657023759
2019年02月,嘉義縣,60528284,0.5289,25499639,0.2228,9281261,0.0811,19139985,0.1672,114449169,1.794607247
2019年02月,屏東縣,105742785,0.4452,57046380,0.2402,15701008,0.0661,59042906,0.2486,237533079,3.724610574
2019年02月,台東縣,29562841,0.5201,19820506,0.3487,5571721,0.098,1888704,0.0332,56843772,0.891332336
2019年02月,花蓮縣,48217181,0.5055,34469123,0.3613,11198961,0.1174,1504792,0.0158,95390057,1.495752998
