年度,台電,民營
91年,12.38,0
92年,9.8,0
93年,12.8,0
94年,79.09,0
95年,174.04,92.66
96年,276.46,153.88
97年,272.69,329.69
98年,371.68,476.5
99年,515.2,506.65
100年,802.97,792.68
101年,736.54,752.97
102年,747.79,869.49
103年,706.54,779.96
104年,716.46,787.2
105年,645.74,800.8
106年,745.77,951.6
107年,731.75,912.96
108年6月,332.85,402.06
