年度,台電,民營
97年,3410.73,872.28
98年,2956.85,772.48
99年,3432.88,735.95
100年,3094.65,880.76
101年,4687.25,960.87
102年,4539.06,861.46
103年,3601.17,693.8
104年,3748.46,699.07
105年,5516.74,1018.03
106年,4502.68,921.3
107年,3555.45,889.07
108年5月,1619.6,308.4
